Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/ATARI2600/Atari 2600 Manuals/3-D Genesis.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2F3-D%20Genesis.pdf,469642,a560f241f5f749414f03b820ede29ebb,,,3-D Genesis.pdf
docs/ATARI2600/Atari 2600 Manuals/3-D Havoc.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2F3-D%20Havoc.pdf,497381,cdb11cb2d9aa3cc31d29e7fdf687f448,,,3-D Havoc.pdf
docs/ATARI2600/Atari 2600 Manuals/3-D Tic-Tac-Toe.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2F3-D%20Tic-Tac-Toe.pdf,1093634,a3c17f5f073623a0918ad019d0d256ff,,,3-D Tic-Tac-Toe.pdf
docs/ATARI2600/Atari 2600 Manuals/Acid Drop.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FAcid%20Drop.pdf,432488,72704ef0732d76fa4ae18865c5206007,,,Acid Drop.pdf
docs/ATARI2600/Atari 2600 Manuals/Actionauts.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FActionauts.pdf,438182,60c6ecb0854b2239924c9e30550ac62c,,,Actionauts.pdf
"docs/ATARI2600/Atari 2600 Manuals/Activision Decathlon, The.pdf",https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FActivision%20Decathlon%2C%20The.pdf,1115309,abdc906f903e2fa0f5aad2fd9194a1b6,,,"Activision Decathlon, The.pdf"
docs/ATARI2600/Atari 2600 Manuals/Adventure.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FAdventure.pdf,999605,e5e5b92e8082e3128363e429aa3ea2e1,,,Adventure.pdf
docs/ATARI2600/Atari 2600 Manuals/Adventures of Tron.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FAdventures%20of%20Tron.pdf,1144501,f3796328755c75bc410024c731576ecd,,,Adventures of Tron.pdf
docs/ATARI2600/Atari 2600 Manuals/Air Raid .pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FAir%20Raid%20.pdf,189811,93b3b83f925d7cbae83a09e8d7e8365b,,,Air Raid .pdf
docs/ATARI2600/Atari 2600 Manuals/Air Raiders.pdf,https://archive.org/download/mister-manuals/1977_Atari%202600.zip/1977_Atari%202600%2FAir%20Raiders.pdf,711495,740ca2548aafa9c6836453f18e31aa0e,,,Air Raiders.pdf
